Title,Year,City,Country,ProShot,Video,Full,Link,Comment
"Live @ Taby, Vitahuset 1994",1994,Täby,Sweden,No,No,Yes,https://www.youtube.com/playlist?list=PLuafZ65Sjm1l5e3Lkd9mRRN3NvCgQT5-3,
"Live @ Aschaffenburg, Klangwerk, Germany",1996,Aschaffenburg,Germany,Yes,Yes,Yes,https://www.youtube.com/watch?v=Zqonsv6j1_c,
Stuttgart ,1997,Stuttgart ,Germany,Yes,Yes,Yes,https://www.youtube.com/watch?v=vU-61xsRX3M,
Wacken Open Air,1997,Wacken ,Germany,No,No,Yes,https://www.youtube.com/playlist?list=PLuafZ65Sjm1nazr2VRPeLpDpTxSmuVJdo,Most of the songs are cuts
Club citta '97,1998,,Japan,No,No,Yes,https://www.youtube.com/watch?v=8xGfu7mPw7k,
Live in Gothenburg 1999,1999,Gothenburg ,Sweden,No,No,Yes,https://www.youtube.com/playlist?list=PLCLYlV9B8_Sn_ucW5x93qtI24NwvWkFq3,
"Montreal, Canada 1999",1999,Montreal,Canada,No,Yes,Yes,https://www.youtube.com/watch?v=Uas6YwNBZxE,
Live @ Waldrock Festival,1999,,Netherlands,No,No,Yes,http://heavysoundboard.blogspot.com/2016/11/in-flames-live-waldrock-festival.html,
Live in Detroit 1999,1999,Detroit,United States,Yes,No,Yes,https://www.youtube.com/playlist?list=PLuafZ65Sjm1mb1TFropjkDoYSzQP-m79L,
"COMPLETE SHOW - Worcester, MA, USA",1999,Worcester,United States,Yes,Yes,Yes,https://www.youtube.com/watch?v=VrSH-me3JZE,
"Wheaton (USA, IL)",1999,Wheaton,United States,No,Yes,Yes,https://www.youtube.com/watch?v=FB6faANKdA4,
Live Mexico 09/02/00,2000,Mexico ,Mexico,No,Yes,Yes,https://www.youtube.com/watch?v=9S7WHpmJBhQ,
Live in Indianapolis,2000,Indianapolis ,United States,No,Yes,Yes,https://www.youtube.com/watch?v=BuDCJeAksdc,
Vosselar (BEL),2000,Vosselar,Belgium,No,Yes,Yes,https://www.youtube.com/watch?v=kdn062rQogM,
Live Columbus,2000,,Sweden,No,Yes,Yes,https://www.youtube.com/watch?v=jhJnhFtyW7g,
The Tokyo Showdown,2001,,Japan,Yes,No,Yes,https://www.youtube.com/playlist?list=PLCLYlV9B8_Sl9u9b6GYoC12WcUiE8hMs5,
Gothenburg 2001-ish,2001,Gothenburg ,Sweden,Yes,Yes,Yes,https://www.youtube.com/watch?v=U4VmNrrjnRY,
Live at Wacken Open Air,2001,Wacken ,Germany,No,Yes,Yes,https://www.youtube.com/watch?v=xAKbRiKlHSw,
Live in Göteborg 2001,2001,Gothenburg ,Sweden,No,No,Yes,https://www.youtube.com/watch?v=_XqltOKyu6M,
Live in Gothenburg 2002,2002,Gothenburg ,Sweden,No,No,Yes,https://www.youtube.com/playlist?list=PLCLYlV9B8_Sn-MY0WVYGf_JfrVmF6_UMY,
As The Past Repeats Today (1997 & 2002),2002,,,Yes,Yes,Yes,https://www.youtube.com/watch?v=UvKf9i8oKHc,
Live Korea 2002,2002,Seoul,South Korea,No,Yes,Yes,https://www.youtube.com/playlist?list=PLxdpxeE4Z8cIF4KQG9DI7vqaHPSXqCdmh,
Live,2002,Porto,Portugal,No,Yes,Yes,https://www.youtube.com/watch?v=N2ehUb0gzvk,
Live In Montreal,2002,Montreal,Canada,Yes,Yes,Yes,https://www.youtube.com/watch?v=zNbNbb-odJg,
Live in Philadelphia,2002,Philadelphia,United States,Yes,No,Yes,https://www.youtube.com/playlist?list=PLuafZ65Sjm1lj2t6fEscixmlLjV3MH_lF,
"Cologne (GER), 03 juin 2003",2003,Köln,Germany,Yes,Yes,Yes,https://www.youtube.com/watch?v=zuW9rRp1hLQ,
